Cantidad_Trades,Perdida,Ganancia_Promedio_xTrade,PAR,Estrategia,Tiempo_inicial,Tiempo_final,Cantidad_trade
8,-0.07699999999995269,-0.009624999999994086,ETHUSDT,MACD_logicv1,2023-07-04 00:18:41.205375,2023-07-04 01:41:06.902105,0.1
8,-0.07699999999995269,-0.009624999999994086,ETHUSDT,MACD_logicv1,2023-07-04 00:18:41.205375,2023-07-04 01:44:39.473051,0.1
8,-0.07699999999995269,-0.009624999999994086,ETHUSDT,MACD_logicv1,2023-07-04 00:18:41.205375,2023-07-04 01:44:51.190335,0.1
140,-1.6475500000000836,-0.011768214285714883,BTCUSDT,MACD_logicv1,2023-07-04 09:13:57.091116,2023-07-04 13:56:25.593151,0.005
109,-1.6719500000000878,-0.015338990825688879,BTCUSDT,MACD,2023-07-04 10:49:53.958805,2023-07-04 13:57:53.739647,0.005
