Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Ganancia,Método,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
30640.0,2023-07-03 08:56:51.078734,30647.37,2023-07-03 09:00:42.572234,0.7369999999998982,2G,30,0.02,-10,15,30,5,15,5,30,10,2.989056
30638.81,2023-07-03 09:03:19.430100,30648.61,2023-07-03 09:05:09.183978,0.9799999999999273,2G,30,0.02,-10,15,30,5,15,5,30,10,4.130065
30646.14,2023-07-03 09:06:32.215862,30651.17,2023-07-03 09:07:46.384913,0.5029999999998837,2G,30,0.02,-10,15,30,5,15,5,30,10,4.687783
30652.23,2023-07-03 09:08:35.012528,30658.85,2023-07-03 09:09:35.752188,0.6619999999998982,2G,30,0.02,-10,15,30,5,15,5,30,10,13.258262
30658.87,2023-07-03 09:09:36.589797,30666.45,2023-07-03 09:12:36.441004,0.7580000000001746,2G,30,0.02,-10,15,30,5,15,5,30,10,29.972659
30663.93,2023-07-03 09:13:38.189845,30667.86,2023-07-03 09:14:57.208849,0.3930000000000291,2G,30,0.02,-10,15,30,5,15,5,30,10,2.415409
30640.96,2023-07-03 09:33:30.690635,30647.54,2023-07-03 09:35:45.849821,0.6580000000001747,2G,30,0.02,-10,15,30,5,15,5,30,10,3.863326
30603.56,2023-07-03 09:57:16.680395,30607.17,2023-07-03 09:59:13.534780,0.36099999999969445,2G,30,0.02,-10,15,30,5,15,5,30,10,21.879145
30608.69,2023-07-03 09:59:14.290959,30615.45,2023-07-03 10:01:25.559358,0.6760000000002038,2G,30,0.02,-10,15,30,5,15,5,30,10,3.877781
30583.3,2023-07-03 10:05:04.733768,30597.7,2023-07-03 10:05:22.935736,1.4400000000001456,1G,30,0.02,-10,15,30,5,15,5,30,10,4.222228
30597.99,2023-07-03 10:05:23.828984,30613.99,2023-07-03 10:06:41.680188,1.6,1G,30,0.02,-10,15,30,5,15,5,30,10,23.045464
30617.37,2023-07-03 10:09:18.925757,30631.08,2023-07-03 10:10:51.349242,1.3710000000002767,1G,30,0.02,-10,15,30,5,15,5,30,10,3.493551
30617.85,2023-07-03 10:13:16.132642,30624.56,2023-07-03 10:17:03.536300,0.6710000000002765,2G,30,0.02,-10,15,30,5,15,5,30,10,2.860904
30617.27,2023-07-03 10:19:11.058849,30624.08,2023-07-03 10:21:01.222089,0.6810000000001311,2G,30,0.02,-10,15,30,5,15,5,30,10,12.827472
30611.71,2023-07-03 10:29:38.844851,30624.95,2023-07-03 10:30:49.261559,1.3240000000001602,2G,30,0.02,-10,15,30,5,15,5,30,10,4.692541
30627.25,2023-07-03 10:32:13.339455,30630.78,2023-07-03 10:35:30.237698,0.35299999999988363,2G,30,0.02,-10,15,30,5,15,5,30,10,4.710362
30631.96,2023-07-03 10:35:31.072706,30637.76,2023-07-03 10:36:27.309359,0.5799999999999272,2G,30,0.02,-10,15,30,5,15,5,30,10,5.415611
30640.01,2023-07-03 10:36:53.139706,30648.46,2023-07-03 10:38:07.880971,0.8450000000000728,2G,30,0.02,-10,15,30,5,15,5,30,10,3.044259
30646.52,2023-07-03 10:40:23.494136,30651.59,2023-07-03 10:49:26.229708,0.5069999999999709,2G,30,0.02,-10,15,30,5,15,5,30,10,4.360618
30655.06,2023-07-03 10:49:52.299749,30660.32,2023-07-03 10:51:55.243600,0.5259999999998399,2G,30,0.02,-10,15,30,5,15,5,30,10,2.625559
30629.04,2023-07-03 11:00:24.042851,30646.38,2023-07-03 11:02:08.616964,1.7340000000000146,1G,30,0.02,-10,15,30,5,15,5,30,10,12.825181
30651.99,2023-07-03 11:03:53.908009,30662.46,2023-07-03 11:13:01.011559,1.0469999999997526,2G,30,0.02,-10,15,30,5,15,5,30,10,2.854296
30643.69,2023-07-03 11:19:40.873121,30653.02,2023-07-03 11:21:25.808809,0.9330000000001747,2G,30,0.02,-10,15,30,5,15,5,30,10,2.992048
30657.53,2023-07-03 11:23:02.078263,30673.5,2023-07-03 11:23:36.855485,1.5970000000001165,1G,30,0.02,-10,15,30,5,15,5,30,10,4.370077
30651.48,2023-07-03 11:29:22.342440,30657.99,2023-07-03 11:30:47.282539,0.6510000000002037,2G,30,0.02,-10,15,30,5,15,5,30,10,3.634756
30645.25,2023-07-03 11:31:39.922775,30648.43,2023-07-03 11:33:02.822989,0.31800000000002915,2G,30,0.02,-10,15,30,5,15,5,30,10,3.401168
30647.77,2023-07-03 11:33:06.921364,30660.8,2023-07-03 11:36:22.241618,1.3029999999998836,2G,30,0.02,-10,15,30,5,15,5,30,10,7.55967
30627.92,2023-07-03 11:55:07.973046,30638.07,2023-07-03 11:57:42.968276,1.0150000000001456,2G,30,0.02,-10,15,30,5,15,5,30,10,18.09675
30585.0,2023-07-03 12:13:01.266982,30591.56,2023-07-03 12:14:10.975289,0.656000000000131,2G,30,0.02,-10,15,30,5,15,5,30,10,3.421928
30592.76,2023-07-03 12:14:11.807053,30598.01,2023-07-03 12:14:32.763653,0.525,2G,30,0.02,-10,15,30,5,15,5,30,10,4.418452
30600.0,2023-07-03 12:14:33.599505,30609.66,2023-07-03 12:14:45.909969,0.9659999999999855,2G,30,0.02,-10,15,30,5,15,5,30,10,8.863219
30586.75,2023-07-03 12:16:57.718150,30599.39,2023-07-03 12:17:41.025621,1.2639999999999418,1G,30,0.02,-10,15,30,5,15,5,30,10,3.973738
30581.51,2023-07-03 12:19:52.114284,30584.78,2023-07-03 12:20:35.690410,0.3270000000000437,1G,30,0.02,-10,15,30,5,15,5,30,10,3.725135
30585.06,2023-07-03 12:22:12.492669,30590.22,2023-07-03 12:22:29.751477,0.5159999999999855,1G,30,0.02,-10,15,30,5,15,5,30,10,4.763236
30599.31,2023-07-03 12:22:30.580767,30600.27,2023-07-03 12:23:17.869002,0.0959999999999127,2G,30,0.02,-10,15,30,5,15,5,30,10,22.585662
30602.3,2023-07-03 12:23:18.860746,30616.94,2023-07-03 12:24:59.000348,1.4639999999999418,2G,30,0.02,-10,15,30,5,15,5,30,10,4.2522269999999995
30582.89,2023-07-03 12:32:09.279696,30596.75,2023-07-03 12:32:54.517577,1.3860000000000583,1G,30,0.02,-10,15,30,5,15,5,30,10,3.754206
30601.88,2023-07-03 12:34:26.538056,30616.64,2023-07-03 12:35:01.468047,1.47599999999984,2G,30,0.02,-10,15,30,5,15,5,30,10,4.185813
30621.21,2023-07-03 12:35:32.144465,30628.46,2023-07-03 12:37:26.184256,0.7250000000000001,2G,30,0.02,-10,15,30,5,15,5,30,10,3.144174
30625.95,2023-07-03 12:38:09.784860,30629.84,2023-07-03 12:39:19.594698,0.38899999999994184,2G,30,0.02,-10,15,30,5,15,5,30,10,2.811627
30632.01,2023-07-03 12:39:20.532268,30637.14,2023-07-03 12:43:28.858922,0.5130000000001019,2G,30,0.02,-10,15,30,5,15,5,30,10,4.55685
30635.03,2023-07-03 12:45:18.253023,30641.96,2023-07-03 12:46:42.370536,0.6930000000000291,2G,30,0.02,-10,15,30,5,15,5,30,10,3.562881
30618.64,2023-07-03 12:51:07.318262,30627.96,2023-07-03 12:52:16.844360,0.931999999999971,2G,30,0.02,-10,15,30,5,15,5,30,10,3.258525
