Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida,Método,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
30672.93,2023-07-03 06:17:31.616799,30654.51,2023-07-03 06:17:32.522842,-1.8420000000001893,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,29.894752
30672.93,2023-07-03 06:17:35.303308,30654.6,2023-07-03 06:17:36.183857,-1.8330000000001747,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,33.84522
30672.93,2023-07-03 06:19:05.549597,30652.46,2023-07-03 06:19:06.480235,-2.0470000000001165,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,6.70345
30672.93,2023-07-03 06:19:09.498243,30653.45,2023-07-03 06:19:10.341886,-1.9479999999999564,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,10.379929
30672.93,2023-07-03 06:19:13.239895,30654.43,2023-07-03 06:19:14.125920,-1.85,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,14.138819
30672.93,2023-07-03 06:19:17.141523,30652.23,2023-07-03 06:19:18.069164,-2.0700000000000727,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,18.036454
30672.93,2023-07-03 06:19:20.946813,30654.37,2023-07-03 06:19:21.510604,-1.856000000000131,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,21.828709
30672.93,2023-07-03 06:19:24.620363,30654.29,2023-07-03 06:19:25.201526,-1.863999999999942,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,25.517803
30672.93,2023-07-03 06:19:28.088850,30654.25,2023-07-03 06:19:28.920565,-1.8680000000000292,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,28.980107
30672.93,2023-07-03 06:19:31.660506,30654.19,2023-07-03 06:19:32.555380,-1.8740000000001602,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,32.813812
30672.93,2023-07-03 06:19:35.566699,30653.95,2023-07-03 06:19:36.120930,-1.8979999999999564,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,36.461353
30672.93,2023-07-03 06:19:39.053453,30654.32,2023-07-03 06:19:39.888336,-1.8610000000000584,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,39.944707
30672.93,2023-07-03 06:19:42.888527,30653.22,2023-07-03 06:19:43.782603,-1.9709999999999128,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,43.786968
30672.93,2023-07-03 06:19:46.816521,30656.62,2023-07-03 06:19:47.374388,-1.631000000000131,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,47.703781
30672.93,2023-07-03 06:19:50.290468,30656.79,2023-07-03 06:19:51.162902,-1.613999999999942,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,51.166399
30672.93,2023-07-03 06:19:54.189539,30656.98,2023-07-03 06:19:55.052801,-1.5950000000000728,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,55.090074
30672.93,2023-07-03 06:19:58.007614,30656.78,2023-07-03 06:19:58.571604,-1.6150000000001457,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,58.906243
30672.93,2023-07-03 06:22:26.882218,30637.7,2023-07-03 06:22:27.780573,-3.5229999999999566,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,11.690339
30672.93,2023-07-03 06:22:30.544238,30636.82,2023-07-03 06:22:31.131885,-3.6110000000000584,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,15.351895
30672.93,2023-07-03 06:22:34.284355,30634.43,2023-07-03 06:22:35.117068,-3.85,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,18.821798
30672.93,2023-07-03 06:22:37.909167,30633.43,2023-07-03 06:22:38.485708,-3.95,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,22.722142
30672.93,2023-07-03 06:23:02.545597,30633.76,2023-07-03 06:23:03.397693,-3.9170000000001894,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,15.80128
30672.93,2023-07-03 06:23:06.464282,30631.22,2023-07-03 06:23:07.350951,-4.170999999999913,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,19.462495
30672.93,2023-07-03 06:23:33.478367,30633.36,2023-07-03 06:23:34.368537,-3.956999999999971,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,11.931748
30672.93,2023-07-03 06:23:37.389023,30633.26,2023-07-03 06:23:38.290561,-3.9670000000001893,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,15.571512
30672.93,2023-07-03 06:23:41.092433,30635.05,2023-07-03 06:23:41.953030,-3.788000000000102,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,19.549867
30672.93,2023-07-03 06:23:44.876967,30636.12,2023-07-03 06:23:45.819516,-3.681000000000131,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,23.067849
30672.93,2023-07-03 06:23:49.258538,30637.14,2023-07-03 06:23:50.136816,-3.5790000000000877,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,27.454856
30672.93,2023-07-03 06:23:53.321446,30637.19,2023-07-03 06:23:54.198023,-3.57400000000016,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,31.51826
30672.93,2023-07-03 06:23:57.361490,30637.31,2023-07-03 06:23:58.225995,-3.561999999999898,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,35.557999
30672.93,2023-07-03 06:24:01.311885,30638.86,2023-07-03 06:24:02.230601,-3.406999999999971,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,39.510132
30672.93,2023-07-03 06:24:04.926037,30639.96,2023-07-03 06:24:05.769618,-3.2970000000001165,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,43.393178
30672.93,2023-07-03 06:24:08.768639,30639.97,2023-07-03 06:24:09.322179,-3.2959999999999128,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,46.956294
30672.93,2023-07-03 06:24:12.609946,30638.07,2023-07-03 06:24:13.689982,-3.4860000000000584,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,50.801849
30672.93,2023-07-03 06:24:16.717708,30634.16,2023-07-03 06:24:17.552726,-3.8770000000000437,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,54.90155
30672.93,2023-07-03 06:24:20.588291,30633.47,2023-07-03 06:24:21.445680,-3.9459999999999127,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,58.785857
