Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Ganancia,Método,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
1959.41,2023-07-03 17:06:31.540991,1961.97,2023-07-03 17:12:01.914064,0.25599999999999457,2G,30,0,-5,10,20,2.5,10,2.5,30,10,5.388167
1960.38,2023-07-03 17:13:45.844233,1963.01,2023-07-03 17:20:00.794731,0.2629999999999882,2G,30,0,-5,10,20,2.5,10,2.5,30,10,4.60745
1963.03,2023-07-03 17:20:01.700254,1965.53,2023-07-03 17:20:29.100659,0.25,2G,30,0,-5,10,20,2.5,10,2.5,30,10,9.268158
1961.02,2023-07-03 17:21:39.717385,1964.83,2023-07-03 17:28:07.320128,0.38099999999999457,2G,30,0,-5,10,20,2.5,10,2.5,30,10,4.769303
1960.06,2023-07-03 18:26:17.264064,1962.74,2023-07-03 18:40:51.156334,0.2680000000000064,4G,30,0,-5,10,20,2.5,10,2.5,30,10,9.814289
1962.29,2023-07-03 18:42:38.686037,1965.19,2023-07-03 18:45:32.117129,0.2900000000000091,2G,30,0,-5,10,20,2.5,10,2.5,30,10,5.115881
1963.96,2023-07-03 18:46:15.282157,1967.46,2023-07-03 18:50:24.944439,0.35000000000000003,2G,30,0,-5,10,20,2.5,10,2.5,30,10,4.957389
1967.36,2023-07-03 18:50:25.770470,1969.41,2023-07-03 18:50:51.985689,0.2050000000000182,2G,30,0,-5,10,20,2.5,10,2.5,30,10,5.94623
1969.5,2023-07-03 18:50:52.868214,1972.33,2023-07-03 19:00:53.473732,0.28299999999999276,4G,30,0,-5,10,20,2.5,10,2.5,30,10,3.908208
1953.86,2023-07-04 00:19:54.123491,1955.54,2023-07-04 00:35:14.362823,0.16800000000000637,4G,15,0,-2.5,10,20,2.5,10,2.5,15,10,1.996831
1950.8,2023-07-04 01:17:13.347601,1955.68,2023-07-04 01:20:12.365813,0.4880000000000109,2G,15,0,-2.5,10,20,2.5,10,2.5,15,10,4.591986
1951.86,2023-07-04 01:35:47.701505,1955.55,2023-07-04 01:37:32.130407,0.3690000000000055,2G,15,0,-2.5,10,20,2.5,10,2.5,15,10,3.002073
1950.35,2023-07-04 04:48:50.843965,1953.21,2023-07-04 04:54:44.698467,0.28600000000001274,2G,15,0,-2.5,10,20,2.5,10,2.5,15,10,5.0802
1949.05,2023-07-04 06:05:21.840554,1953.17,2023-07-04 06:10:27.894465,0.41200000000001186,2G,15,0,-2.5,10,20,2.5,10,2.5,15,10,3.8707570000000002
1953.7,2023-07-04 06:12:34.463786,1956.31,2023-07-04 06:27:24.025650,0.26099999999999,4G,15,0,-2.5,10,20,2.5,10,2.5,15,10,2.70854
1947.45,2023-07-04 09:05:23.895321,1950.29,2023-07-04 09:07:22.482274,0.2839999999999918,2G,15,0,-2.5,10,20,2.5,10,2.5,15,10,1.9402819999999998
1950.66,2023-07-04 09:08:20.300136,1953.34,2023-07-04 09:16:57.481219,0.26799999999998364,2G,15,0,-2.5,10,20,2.5,10,2.5,15,10,2.868042
1952.91,2023-07-04 09:18:41.416092,1956.09,2023-07-04 10:07:36.542696,0.31799999999998363,4G,15,0,-2.5,10,20,2.5,10,2.5,15,10,3.8251020000000002
1956.02,2023-07-04 10:08:57.173256,1958.35,2023-07-04 10:36:07.202642,0.23299999999999274,4G,15,0,-2.5,10,20,2.5,10,2.5,15,10,2.280974
1954.79,2023-07-04 10:38:49.195832,1957.85,2023-07-04 10:48:49.889263,0.30599999999999455,4G,15,0,-2.5,10,20,2.5,10,2.5,15,10,3.548436
1957.42,2023-07-04 10:51:06.947301,1959.83,2023-07-04 11:32:53.409136,0.24099999999998545,2G,15,0,-2.5,10,20,2.5,10,2.5,15,10,3.109098
1954.69,2023-07-04 12:35:44.657944,1956.77,2023-07-04 12:50:53.639437,0.20799999999999275,4G,15,0,-2.5,10,20,2.5,10,2.5,15,10,4.148944
1937.72,2023-07-04 23:19:42.804852,1940.53,2023-07-05 00:24:28.068288,0.28099999999999453,4G,15,0,-2.5,10,20,2.5,10,2.5,15,10,3.779688
1935.5,2023-07-05 00:57:31.509774,1938.18,2023-07-05 01:07:30.589856,0.2680000000000064,2G,15,0,-2.5,10,20,2.5,10,2.5,15,10,5.622835
1938.21,2023-07-05 01:08:56.853409,1941.35,2023-07-05 01:18:57.577795,0.3139999999999873,4G,15,0,-2.5,10,20,2.5,10,2.5,15,10,5.1531
1906.01,2023-07-05 14:16:19.112144,1910.0,2023-07-05 14:19:07.880213,0.3990000000000009,2G,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.685674
1907.29,2023-07-05 14:20:51.560279,1909.85,2023-07-05 14:41:35.907945,0.25599999999999457,4G,15,0,-2.5,10,20,2.5,10,2.5,10,10,5.233404
1908.37,2023-07-05 14:48:09.306070,1911.44,2023-07-05 14:54:14.681815,0.30700000000001637,2G,15,0,-2.5,10,20,2.5,10,2.5,10,10,6.6461
1903.83,2023-07-05 15:18:31.937210,1906.47,2023-07-05 15:21:20.202059,0.26400000000001,2G,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.101248
1897.62,2023-07-05 15:39:19.911332,1901.16,2023-07-05 15:43:57.563687,0.35400000000001913,2G,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.618714
1901.82,2023-07-05 15:45:19.492190,1904.4,2023-07-05 16:03:57.210331,0.2580000000000155,4G,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.966044
1904.41,2023-07-05 16:03:58.060615,1907.13,2023-07-05 16:19:08.281618,0.27200000000000274,4G,15,0,-2.5,10,20,2.5,10,2.5,10,10,5.654314
1907.14,2023-07-05 16:19:09.101568,1909.66,2023-07-05 16:56:19.329390,0.25199999999999817,2G,15,0,-2.5,10,20,2.5,10,2.5,10,10,11.483631
