Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Ganancia,Ganancia 0.01,Costo_Compra,Costo_Venta,Costo_xTrade
30758.04,35:40.8,30762.92,37:13.1,0.488,0.0488,0.3075804,0.3076292,0.9252096
30757.16,38:15.0,30760.41,39:23.7,0.325,0.0325,0.3075716,0.3076041,0.9251757
30747.18,41:23.4,30757.95,43:25.8,1.077,0.1077,0.3074718,0.3075795,0.9250513
30754.13,44:57.9,30763.3,45:58.9,0.917,0.0917,0.3075413,0.307633,0.9251743
30738.8,49:40.8,30740,51:03.3,0.12,0.012,0.307388,0.3074,0.924788
30740.01,51:52.8,30743.86,52:53.3,0.385,0.0385,0.3074001,0.3074386,0.9248387
30744.99,53:11.3,30747.46,53:56.6,0.247,0.0247,0.3074499,0.3074746,0.9249245
30752.11,55:19.3,30761.99,56:04.4,0.988,0.0988,0.3075211,0.3076199,0.925141
30758,57:13.1,30758.06,58:09.4,0.006,0.0006,0.30758,0.3075806,0.9251606
30753.92,59:03.9,30772,00:52.6,1.808,0.1808,0.3075392,0.30772,0.9252592
30779.22,01:06.4,30789.12,01:27.4,0.99,0.099,0.3077922,0.3078912,0.9256834
30775.94,04:07.6,30779.81,05:38.7,0.387,0.0387,0.3077594,0.3077981,0.9255575
30759.37,07:07.6,30761.67,08:07.3,0.23,0.023,0.3075937,0.3076167,0.9252104
30763.5,10:58.9,30778,11:56.7,1.45,0.145,0.307635,0.30778,0.925415
30756,13:47.8,30771.86,15:50.8,1.586,0.1586,0.30756,0.3077186,0.9252786
30760.69,19:13.3,30773.14,23:32.4,1.245,0.1245,0.3076069,0.3077314,0.9253383
30765.22,24:47.7,30773.18,25:56.9,0.796,0.0796,0.3076522,0.3077318,0.925384
30771.24,26:59.0,30774,27:51.5,0.276,0.0276,0.3077124,0.30774,0.9254524
30758.3,35:43.5,30759.27,38:12.3,0.097,0.0097,0.307583,0.3075927,0.9251757
30767.12,40:15.8,30773.64,41:02.4,0.652,0.0652,0.3076712,0.3077364,0.9254076
30774.59,41:58.6,30777.73,42:47.2,0.314,0.0314,0.3077459,0.3077773,0.9255232
30772.99,43:31.6,30778.54,44:50.9,0.555,0.0555,0.3077299,0.3077854,0.9255153
30779.72,45:26.7,30782.27,46:09.7,0.255,0.0255,0.3077972,0.3078227,0.9256199
30774.31,47:31.8,30776.19,48:50.2,0.188,0.0188,0.3077431,0.3077619,0.925505
30777.07,49:25.7,30780.76,50:04.3,0.369,0.0369,0.3077707,0.3078076,0.9255783
