Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Ganancia
244.5,2023-07-02 02:55:43.558463,244.51,2023-07-02 02:56:42.997330,0.0010000000002037268
244.58,2023-07-02 03:05:51.161777,244.8,2023-07-02 03:06:43.202488,0.021999999999934516
243.2,2023-07-02 04:03:23.767305,243.4,2023-07-02 04:04:51.831070,0.014000000000123691
