Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida
1929.46,2023-07-02 22:17:14.055516,1929.0,2023-07-02 22:17:18.445228,-0.046000000000276486,6728.94792548,6728.90192548
1935.07,2023-07-02 22:20:15.585964,1933.81,2023-07-02 22:20:25.941918,-0.12600000000020373,6729.22992548,6729.10392548
1937.44,2023-07-02 22:23:08.259253,1937.43,2023-07-02 22:23:13.441708,-0.0010000000002037268,6729.31792548,6729.31692548
1953.18,2023-07-02 22:28:57.134928,1953.12,2023-07-02 22:29:01.424976,-0.006000000000312866,6730.99747028,6730.99147028
1952.42,2023-07-02 22:29:24.910174,1950.87,2023-07-02 22:29:40.369712,-0.15499999999974534,6730.99147028,6730.83647028
1954.21,2023-07-02 22:31:19.532007,1954.02,2023-07-02 22:31:39.587659,-0.018999999999323336,6731.05847028,6731.03947028
1958.31,2023-07-02 22:35:14.239418,1957.69,2023-07-02 22:35:18.625409,-0.06199999999989814,6731.49547028,6731.43347028
1955.62,2023-07-02 22:36:13.499818,1955.12,2023-07-02 22:36:56.164888,-0.049999999999272404,6731.43347028,6731.38347028
1956.34,2023-07-02 22:38:22.971633,1955.91,2023-07-02 22:38:33.412831,-0.0430000000005748,6731.43808228,6731.39508228
1956.21,2023-07-02 22:38:44.493483,1956.15,2023-07-02 22:39:24.824581,-0.0059999999994033715,6731.39508228,6731.38908228
1954.77,2023-07-02 22:40:19.136278,1954.37,2023-07-02 22:40:56.584503,-0.03999999999996362,6731.38908228,6731.34908228
1951.06,2023-07-02 22:41:34.958143,1947.9,2023-07-02 22:41:56.290603,-0.31600000000071304,6731.34908228,6731.03308228
1942.03,2023-07-02 22:42:23.280095,1931.98,2023-07-02 22:43:13.260585,-1.0050000000001091,6731.03308228,6730.02808228
1938.47,2023-07-02 22:47:18.863963,1938.14,2023-07-02 22:47:29.273270,-0.03300000000126602,9811.34304508,9811.31004508
1940.62,2023-07-02 22:55:51.539946,1939.04,2023-07-02 22:56:13.174848,-0.15799999999944703,9812.04504508,9811.88704508
1939.81,2023-07-02 22:56:35.001156,1939.5,2023-07-02 22:57:34.997980,-0.031000000000858563,9811.88704508,9811.85604508
1941.8,2023-07-02 23:01:19.617299,1941.11,2023-07-02 23:01:50.962164,-0.06900000000132422,9812.20004508,9812.13104508
1941.35,2023-07-02 23:02:07.861876,1940.57,2023-07-02 23:02:18.133382,-0.08055759999842849,9812.13104508,9812.05048748
1940.01,2023-07-02 23:05:08.845099,1939.36,2023-07-02 23:05:09.429737,-0.0657627999989927,9812.06048748,9811.99472468
1939.42,2023-07-02 23:05:11.120617,1939.3,2023-07-02 23:05:11.302865,-0.01669700000093144,9811.99472468,9811.97802768
1939.93,2023-07-02 23:10:25.963148,1939.84,2023-07-02 23:11:55.538396,-0.009834899999987101,9812.40802768,9812.39819278
1941.23,2023-07-02 23:14:29.835198,1940.93,2023-07-02 23:14:56.476267,-0.030000000000654836,9812.52719278,9812.49719278
1941.39,2023-07-02 23:15:08.577269,1940.93,2023-07-02 23:15:24.441617,-0.046000000000276486,9812.49719278,9812.45119278
1937.6,2023-07-02 23:17:08.573535,1937.33,2023-07-02 23:17:56.386792,-0.027000000000043656,9812.45119278,9812.42419278
1936.0,2023-07-02 23:18:29.951609,1935.25,2023-07-02 23:19:13.640638,-0.0749999999989086,9812.42419278,9812.34919278
1935.2,2023-07-02 23:19:18.884566,1935.17,2023-07-02 23:20:24.276366,-0.0030000000006111804,9812.34919278,9812.34619278
1933.8,2023-07-02 23:24:35.636102,1933.1,2023-07-02 23:24:53.388100,-0.06999999999970896,9812.36719278,9812.29719278
1934.83,2023-07-02 23:36:18.918914,1934.13,2023-07-02 23:36:34.595012,-0.06999999999970896,9812.67619278,9812.60619278
1934.47,2023-07-02 23:37:08.070244,1933.82,2023-07-02 23:37:25.371197,-0.06500000000050932,9812.60619278,9812.54119278
1934.16,2023-07-02 23:43:21.483320,1934.12,2023-07-02 23:43:26.611359,-0.003999999998995918,9812.58619278,9812.58219278
1934.94,2023-07-02 23:46:40.952600,1934.79,2023-07-02 23:47:18.787398,-0.015000000001236913,9812.63540658,9812.62040658
1932.91,2023-07-02 23:48:25.819217,1932.37,2023-07-02 23:48:30.974008,-0.05400000000008731,9812.62040658,9812.56640658
1938.7,2023-07-02 23:54:04.027353,1937.67,2023-07-02 23:54:09.270219,-0.10299999999915599,9813.11903298,9813.01603298
1937.22,2023-07-02 23:54:47.074149,1936.76,2023-07-02 23:55:13.632982,-0.046000000000276486,9813.01603298,9812.97003298
1937.27,2023-07-02 23:55:30.629238,1937.2,2023-07-02 23:56:07.252348,-0.006999999999607098,9812.97003298,9812.96303298
1938.26,2023-07-03 00:01:18.538814,1937.99,2023-07-03 00:01:23.721196,-0.027000000000043656,9813.10903298,9813.08203298
1936.99,2023-07-03 00:06:08.463605,1936.54,2023-07-03 00:06:18.606410,-0.04500000000007276,9813.18732678,9813.14232678
1939.75,2023-07-03 00:10:49.127991,1939.42,2023-07-03 00:10:59.705475,-0.03299999999944703,9813.27732678,9813.24432678
1939.75,2023-07-03 00:12:04.459776,1939.46,2023-07-03 00:12:25.810067,-0.02900000000045111,9813.24432678,9813.21532678
1942.11,2023-07-03 00:17:02.229406,1941.92,2023-07-03 00:17:17.940153,-0.01900000000023283,9813.32132678,9813.30232678
1941.34,2023-07-03 00:18:22.688952,1941.07,2023-07-03 00:18:54.289898,-0.027000000000043656,9813.30232678,9813.27532678
1939.31,2023-07-03 00:21:12.382913,1938.88,2023-07-03 00:21:33.288641,-0.042999999999665306,9813.29832678,9813.25532678
1938.53,2023-07-03 01:16:11.768349,1938.94,2023-07-03 01:16:38.288544,0.04100000000000819,10007.53142498,6941.9478514
1941.5,2023-07-03 01:30:13.765840,1943.43,2023-07-03 01:31:07.003739,0.1930000000000064,10011.06931766,6941.97020968
1944.33,2023-07-03 01:33:40.436732,1945.3,2023-07-03 01:34:12.759659,0.09700000000000274,10012.87877488,6942.35730818
1946.45,2023-07-03 01:34:56.145148,1949.0,2023-07-03 01:35:28.259631,0.25499999999999545,10014.08569918,6942.02078547
1945.55,2023-07-03 01:36:40.844854,1945.51,2023-07-03 01:37:35.470755,-0.003999999999996362,10015.936312,10015.21747359
1947.98,2023-07-03 01:44:59.616590,1947.82,2023-07-03 01:45:29.863226,-0.016000000000008185,6947.2662858,6947.2500066
1946.39,2023-07-03 01:47:29.425321,1946.62,2023-07-03 01:49:34.277239,0.022999999999979082,10016.84554346,6949.98727947
1947.05,2023-07-03 01:51:19.635738,1946.55,2023-07-03 01:52:07.791480,-0.05,6950.36948751,6950.31948751
1945.33,2023-07-03 01:54:01.573073,1945.06,2023-07-03 01:55:34.928041,-0.02699999999999818,10016.80157253,6949.95568771
1945.52,2023-07-03 01:55:59.644227,1945.17,2023-07-03 01:56:18.025972,-0.034999999999990906,10016.88792621,10016.85231871
1945.51,2023-07-03 01:57:04.174119,1945.2,2023-07-03 01:57:42.113440,-0.030999999999994546,6950.64058863,6950.60958863
1944.4,2023-07-03 01:59:40.438230,1945.4,2023-07-03 02:00:41.343779,0.1,10017.07756531,6951.44703691
1946.8,2023-07-03 02:04:03.539520,1946.77,2023-07-03 02:04:12.677808,-0.0029999999999972718,10019.01119926,10019.00753816
1949.16,2023-07-03 03:05:10.138815,1948.75,2023-07-03 03:05:49.008569,-0.04100000000000819
1949.12,2023-07-03 03:06:05.700498,1948.46,2023-07-03 03:06:38.979986,-0.06599999999998545
1948.35,2023-07-03 03:07:16.675834,1948.29,2023-07-03 03:07:21.957207,-0.0059999999999945436
1948.3,2023-07-03 03:07:23.388479,1948.29,2023-07-03 03:07:23.834327,-0.0009999999999990906
1948.53,2023-07-03 03:07:27.977701,1948.24,2023-07-03 03:08:18.573862,-0.028999999999996362
1948.4,2023-07-03 03:08:24.344307,1948.05,2023-07-03 03:08:44.941963,-0.035000000000013645
1948.2,2023-07-03 03:10:39.294326,1948.01,2023-07-03 03:11:50.463015,-0.019000000000005457
1949.0,2023-07-03 03:13:08.788876,1948.97,2023-07-03 03:13:12.786462,-0.0029999999999972718
1950.2,2023-07-03 03:17:57.283714,1949.73,2023-07-03 03:18:19.645929,-0.047000000000002734
1949.85,2023-07-03 03:24:56.137686,1949.84,2023-07-03 03:24:56.602363,-0.0009999999999990906
1949.85,2023-07-03 03:24:57.844977,1949.84,2023-07-03 03:24:58.293173,-0.0009999999999990906
1949.85,2023-07-03 03:24:59.277473,1949.84,2023-07-03 03:24:59.855846,-0.0009999999999990906
1950.32,2023-07-03 03:25:12.676895,1950.13,2023-07-03 03:25:52.001001,-0.01899999999998272
1950.1,2023-07-03 03:27:46.721405,1949.93,2023-07-03 03:28:23.334018,-0.016999999999984538
1949.93,2023-07-03 03:29:01.319123,1949.84,2023-07-03 03:29:22.240442,-0.009000000000014552
1949.54,2023-07-03 03:32:28.120736,1949.18,2023-07-03 03:33:20.960177,-0.03599999999999
1950.2,2023-07-03 03:34:59.142578,1950.19,2023-07-03 03:35:02.556624,-0.0009999999999990906
1949.12,2023-07-03 03:36:50.531257,1948.74,2023-07-03 03:37:00.896708,-0.03799999999998818
1949.0,2023-07-03 03:37:30.822072,1948.5,2023-07-03 03:38:47.845554,-0.05
1949.6,2023-07-03 03:43:30.415366,1949.41,2023-07-03 03:43:57.128042,-0.01899999999998272
1949.42,2023-07-03 03:44:08.461284,1949.2,2023-07-03 03:45:08.460207,-0.02200000000000273
1949.93,2023-07-03 03:45:24.796740,1949.65,2023-07-03 03:46:04.788670,-0.027999999999997274
1949.82,2023-07-03 03:46:31.357538,1949.68,2023-07-03 03:46:41.962063,-0.013999999999987267
1949.48,2023-07-03 03:49:28.664576,1949.4,2023-07-03 03:50:12.459677,-0.007999999999992725
1949.66,2023-07-03 03:50:50.357086,1949.6,2023-07-03 03:50:55.547855,-0.006000000000017281
1948.55,2023-07-03 04:40:37.114121,1948.32,2023-07-03 04:40:47.836670,-0.02300000000000182
1951.17,2023-07-03 04:46:44.829131,1950.16,2023-07-03 04:47:53.765556,-0.10099999999999909
1950.09,2023-07-03 04:48:13.413273,1950.01,2023-07-03 04:48:40.448358,-0.007999999999992725
1950.63,2023-07-03 04:48:56.570446,1950.26,2023-07-03 04:49:18.420934,-0.03700000000001182
1951.39,2023-07-03 04:52:34.202637,1951.18,2023-07-03 04:52:55.643311,-0.02100000000000364
1951.37,2023-07-03 04:55:29.220755,1951.08,2023-07-03 04:55:29.676413,-0.028999999999996362
1951.37,2023-07-03 04:55:30.524856,1950.58,2023-07-03 04:55:31.117486,-0.07899999999999636
1950.59,2023-07-03 04:55:32.121693,1950.58,2023-07-03 04:55:32.580168,-0.0009999999999990906
1950.59,2023-07-03 04:55:33.460337,1950.41,2023-07-03 04:55:34.057702,-0.01799999999998363
1950.74,2023-07-03 04:56:01.743361,1950.41,2023-07-03 04:56:29.427822,-0.03299999999999272
1949.78,2023-07-03 04:57:23.980017,1949.32,2023-07-03 04:58:29.242822,-0.04600000000000364
1948.69,2023-07-03 04:59:34.333923,1948.01,2023-07-03 05:00:13.026325,-0.06800000000000637
1947.66,2023-07-03 05:04:30.189920,1946.74,2023-07-03 05:06:13.230760,-0.09200000000000728
1947.48,2023-07-03 05:06:29.258358,1946.99,2023-07-03 05:07:34.129293,-0.04900000000000091
1947.19,2023-07-03 05:08:07.426680,1946.74,2023-07-03 05:08:41.183522,-0.04500000000000455
1946.98,2023-07-03 05:08:57.347292,1946.58,2023-07-03 05:09:18.423903,-0.0400000000000091
1947.57,2023-07-03 05:22:35.116191,1947.51,2023-07-03 05:24:47.629288,-0.0059999999999945436
1949.3,2023-07-03 05:31:40.166679,1949.29,2023-07-03 05:32:23.955390,-0.0009999999999990906
1948.24,2023-07-03 05:34:03.450638,1947.61,2023-07-03 05:35:13.728914,-0.06300000000001092
1947.86,2023-07-03 05:35:24.325558,1947.54,2023-07-03 05:36:34.303907,-0.03199999999999364
