Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida
244.7,2023-07-02 03:35:24.093640,244.6,2023-07-02 03:35:24.552043,-0.010000000000218279
244.7,2023-07-02 03:35:26.371005,244.6,2023-07-02 03:35:26.829385,-0.009999999999308784
244.7,2023-07-02 03:35:38.774188,244.6,2023-07-02 03:35:52.985497,-0.010000000000218279
244.7,2023-07-02 03:36:31.162808,244.5,2023-07-02 03:37:06.679327,-0.020000000000436557
244.5,2023-07-02 03:37:14.622085,244.42,2023-07-02 03:37:21.900068,-0.008799999999610009
244.5,2023-07-02 03:37:29.213264,244.31,2023-07-02 03:37:43.654415,-0.01900000000023283
244.3,2023-07-02 03:38:06.291127,244.22,2023-07-02 03:38:14.130537,-0.008399999999710417
244.3,2023-07-02 03:38:21.301926,244.11,2023-07-02 03:38:21.769124,-0.01900000000023283
244.3,2023-07-02 03:38:23.541595,244.11,2023-07-02 03:38:24.009132,-0.01900000000023283
244.3,2023-07-02 03:38:29.980842,244.11,2023-07-02 03:39:19.613831,-0.018999999999323336
244.0,2023-07-02 03:39:49.972626,243.81,2023-07-02 03:40:18.411766,-0.01900000000023283
244.1,2023-07-02 03:40:26.219084,243.81,2023-07-02 03:40:33.275237,-0.02900000000045111
244.1,2023-07-02 03:40:41.318231,243.74,2023-07-02 03:40:48.113875,-0.03679999999985739
243.7,2023-07-02 03:41:03.712558,243.61,2023-07-02 03:41:04.175528,-0.009000000000014552
243.8,2023-07-02 03:41:05.942355,243.61,2023-07-02 03:41:06.406504,-0.01900000000023283
244.0,2023-07-02 03:41:07.887952,243.9,2023-07-02 03:41:08.340132,-0.009999999999308784
244.0,2023-07-02 03:41:10.433398,243.61,2023-07-02 03:42:01.683895,-0.03900000000066939
244.1,2023-07-02 03:42:32.599025,243.61,2023-07-02 03:42:38.640703,-0.04899999999997817
244.0,2023-07-02 03:43:15.872859,243.61,2023-07-02 03:43:44.907789,-0.03899999999975989
243.6,2023-07-02 03:43:53.195338,243.51,2023-07-02 03:43:53.655168,-0.009000000000014552
243.6,2023-07-02 03:43:55.610987,243.51,2023-07-02 03:43:56.070621,-0.009000000000014552
243.7,2023-07-02 03:44:07.977839,243.51,2023-07-02 03:45:06.019549,-0.01929999999993015
243.6,2023-07-02 03:45:36.166889,243.46,2023-07-02 03:46:12.105692,-0.0158000000001266
243.6,2023-07-02 03:46:19.891480,243.41,2023-07-02 03:46:49.085911,-0.018999999999323336
243.7,2023-07-02 03:46:50.557886,243.41,2023-07-02 03:46:51.015378,-0.02900000000045111
243.7,2023-07-02 03:46:52.754455,243.41,2023-07-02 03:46:53.510396,-0.028999999999541615
243.7,2023-07-02 03:46:57.090067,243.41,2023-07-02 03:47:26.134571,-0.02900000000045111
243.8,2023-07-02 03:47:33.737190,243.41,2023-07-02 03:47:40.864195,-0.03899999999975989
243.7,2023-07-02 03:49:16.858326,243.51,2023-07-02 03:49:38.427645,-0.01900000000023283
243.8,2023-07-02 03:50:08.514923,243.61,2023-07-02 03:50:22.735623,-0.01900000000023283
243.8,2023-07-02 03:50:38.181853,243.7,2023-07-02 03:50:38.648077,-0.009999999999308784
243.8,2023-07-02 03:50:52.516034,243.7,2023-07-02 03:50:52.969849,-0.010000000000218279
243.8,2023-07-02 03:51:00.234539,243.7,2023-07-02 03:51:14.321551,-0.010000000000218279
243.7,2023-07-02 03:52:51.178887,243.6,2023-07-02 03:53:53.252457,-0.010000000000218279
243.4,2023-07-02 03:56:50.995211,243.3,2023-07-02 03:57:12.672535,-0.010000000000218279
243.5,2023-07-02 03:57:20.747101,243.4,2023-07-02 03:57:21.206971,-0.009999999999308784
243.5,2023-07-02 03:57:22.667622,243.4,2023-07-02 03:57:22.858294,-0.010000000000218279
243.5,2023-07-02 03:57:24.861728,243.4,2023-07-02 03:57:25.054163,-0.010000000000218279
243.5,2023-07-02 03:57:27.419018,243.3,2023-07-02 03:57:42.372190,-0.019999999999527063
243.4,2023-07-02 03:58:26.739747,243.21,2023-07-02 03:59:10.589872,-0.01929999999993015
243.2,2023-07-02 03:59:42.880649,243.1,2023-07-02 04:00:26.680282,-0.010000000000218279
243.2,2023-07-02 04:00:34.260039,243.1,2023-07-02 04:00:55.888751,-0.010000000000218279
243.2,2023-07-02 04:01:25.801729,243.1,2023-07-02 04:02:02.341459,-0.010000000000218279
243.2,2023-07-02 04:02:39.754137,243.03,2023-07-02 04:03:01.365507,-0.016999999999825377
243.6,2023-07-02 04:06:13.338703,243.4,2023-07-02 04:06:20.481508,-0.020000000000436557
243.6,2023-07-02 04:06:50.338716,243.4,2023-07-02 04:06:57.469922,-0.019999999999527063
243.5,2023-07-02 04:07:05.216709,243.3,2023-07-02 04:07:12.038768,-0.020000000000436557
243.5,2023-07-02 04:07:27.266267,243.31,2023-07-02 04:08:47.977533,-0.018999999999323336
243.8,2023-07-02 04:10:01.904138,243.61,2023-07-02 04:10:02.355461,-0.01900000000023283
243.8,2023-07-02 04:10:04.082008,243.61,2023-07-02 04:10:04.267176,-0.01900000000023283
243.8,2023-07-02 04:10:05.442551,243.61,2023-07-02 04:10:05.625097,-0.01900000000023283
243.8,2023-07-02 04:10:09.418382,243.61,2023-07-02 04:10:09.879291,-0.018999999999323336
243.8,2023-07-02 04:10:10.939461,243.61,2023-07-02 04:10:11.126475,-0.01900000000023283
243.8,2023-07-02 04:10:24.487615,243.61,2023-07-02 04:10:31.927583,-0.01900000000023283
243.8,2023-07-02 04:10:53.661218,243.61,2023-07-02 04:11:08.546739,-0.01900000000023283
243.8,2023-07-02 04:11:30.609443,243.63,2023-07-02 04:11:52.163831,-0.016999999999825377
243.8,2023-07-02 04:12:07.713902,243.63,2023-07-02 04:12:29.504605,-0.016999999999825377
